Category,Sub_Category
Auto,Gas
Auto,Maintenance
Auto,Upgrades
Auto,Insurance
Auto,Fees
Auto,Dealership
Auto,Auto
Baby,Diapers
Baby,Formula
Baby,Clothes
Baby,Toys
Baby,Baby
Clothes,Clothes
Clothes,Shoes
Clothes,Jewelry
Clothes,Bags_Accessories
Travel/Entertainment,Sports_Outdoors
Travel/Entertainment,Movies_TV
Travel/Entertainment,DateNights
Travel/Entertainment,Arts_Crafts
Travel/Entertainment,Books
Travel/Entertainment,Games
Travel/Entertainment,Guns
Travel/Entertainment,Hotels
Travel/Entertainment,Flights
Travel/Entertainment,Car_Rental
Travel/Entertainment,Tolls
Travel/Entertainment,Travel/Entertainment
Electronics,Accessories
Electronics,Computer
Electronics,TV
Electronics,Camera
Electronics,Phone
Electronics,Tablet_Watch
Electronics,Gaming
Electronics,Electronics_misc
Electronics,Electronics
Food,Groceries
Food,Restaurants
Food,Fast_Food
Food,Food
Home,Maintenance
Home,Furniture_Appliances
Home,Hygiene
Home,Gym
Home,Home_Essentials
Home,Kitchen
Home,Decor
Home,Security
Home,Yard_Garden
Home,Tools
Home,Home
Medical,Pharmacy
Medical,Health_Wellness
Medical,Medical
Personal_Care,Hair
Personal_Care,Makeup_Nails
Personal_Care,Beauty
Personal_Care,Massage
Personal_Care,Vitamins_Supplements
Personal_Care,Personal_Care
Pets,Pet_Food
Pets,Pet_Toys
Pets,Pet_Med
Pets,Pet_Grooming
Pets,Pets
Subscriptions_Memberships,Entertainment
Subscriptions_Memberships,Gym
Subscriptions_Memberships,Subscriptions_Memberships
Utilities,Phone
Utilities,Gas_Power
Utilities,Water
Utilities,Internet
Merchandise,Merchandise
Services,Services
Payments and Credits,Payments and Credits